HEADER,FLR_HTC_20110217,
Default,1001,1101
Default Car-kit,1201,1301
JKDAP3264,1002,1102
JKDAP3265,1003,1103
9xxPlantronics,1004,1104
PROPlantronics,1005,1105
9xxBackBeat,1006,1106
Motorola H790,1007,1107
Motorola H15,1008,1108
Motorola S9,1009,1109
HBH-IV840,1010,1110
HBH-PV740,1011,1111
HBH-DS220,1012,1112
HBH-DS980,1013,1113
Jabra Stone,1015,1115
Jabra BT3030,1016,1116
BH M300,1017,1117
Nokia 905,1018,1118
Nokia 106,1019,1119
Nokia 216,1020,1120
BHM400,1022,1122
Motorola H17,1023,1123
SE VH700,1024,1124
END,,
